iter	Passed	Remaining
27279	3141	35928280	3153	35828281	3172	35728282	3189	35728283	3201	35628284	3213	35528285	3225	35428286	3244	35328287	3256	35228288	3269	35128289	3285	35129290	3305	35129291	3320	35029292	3338	3497
293	3356	3493
294	3375	3489
295	3388	3480
296	3405	34729297	3413	34529298	3422	34429299	3431	34330300	3440	34130301	3451	34030302	3463	33930303	3485	33930304	3504	33830305	3523	33830306	3539	33730307	3556	3371
308	3571	3363
309	3584	3353
310	3596	3342
311	3611	3334
312	3627	3325
313	3641	3316
314	3657	3308
315	3668	3297
316	3681	32831317	3697	3279
318	3711	3268
319	3727	3261
320	3743	3253
321	3751	3238
322	3758	3223
323	3766	3208
324	3774	3194
325	3783	3179
326	3795	31632327	3806	31532328	3818	31432329	3832	313330	3800	3088
331	3823	3086
332	3838	3077
333	3855	3070
334	3869	3060
335	3890	3057
336	3906	3048
337	3925	3042
338	3941	3034
339	3958	3027
340	3978	3021
341	3997	3015
342	4017	3010
343	4035	3002
344	4052	2995
345	4062	2981
346	4070	2967
347	4074	2950
348	4082	2936
349	4091	2922
350	4106	2912
351	4117	2901
352	4132	2891
353	4143	2879
354	4154	2867
355	4160	2851
356	4167	2837
357	4173	2821
358	4182	2807
359	4189	2792
360	4196	2778
361	4202	2763
362	4210	2748
363	4216	2733
364	4224	2719
365	4230	2704
366	4239	2691
367	4248	2678
368	4256	2664
369	4263	2650
370	4270	2636
371	4277	2621
372	4284	2607
373	4290	2592
374	4298	2578
375	4305	2564
376	4312	2550
377	4319	2536
378	4328	2523
379	4335	2509
380	4342	2495
381	4349	2482
382	4355	2467
383	4363	2454
384	4369	2440
385	4377	2426
386	4384	2413
387	4393	2400
388	4400	2386
389	4407	2373
390	4414	2359
391	4419	2345
392	4426	2331
393	4434	2318
394	4441	2305
395	4447	2291
396	4453	2277
397	4461	2264
398	4469	2251
399	4479	2239
400	4488	2227
401	4495	2214
402	4502	2201
403	4512	2188
404	4520	2176
405	4526	2162
406	4533	2149
407	4540	2136
408	4545	2122
409	4553	2110
410	4561	2097
411	4567	2084
412	4573	2070
413	4580	2057
414	4588	2045
415	4595	2032
416	4603	2020
417	4610	2007
418	4619	1995
419	4626	1982
420	4631	1969
421	4639	1956
422	4645	1943
423	4653	1931
424	4659	1918
425	4664	1905
426	4672	1893
427	4679	1880
428	4688	1868
429	4697	1856
430	4705	1845
431	4713	1833
432	4721	1820
433	4730	1809
434	4737	1796
435	4743	1784
436	4753	1772
437	4759	1760
438	4768	1748
439	4778	1737
440	4785	1725
441	4792	1713
442	4801	1701
443	4809	1689
444	4817	1678
445	4823	1665
446	4829	1652
447	4835	1640
448	4843	1628
449	4851	1617
450	4859	1605
451	4867	1593
452	4875	1581
453	4883	1570
454	4890	1558
455	4897	1546
456	4902	1534
457	4912	1523
458	4918	1510
459	4927	1499
460	4934	1487
461	4943	1476
462	4949	1464
463	4959	1453
464	4964	1441
465	4973	1430
466	4981	1418
467	4987	1406
468	4994	1395
469	5003	1384
470	5011	1372
471	5018	1360
472	5024	1348
473	5031	1337
474	5041	1326
475	5048	1315
476	5057	1304
477	5063	1292
478	5070	1280
479	5076	1269
480	5083	1257
481	5090	1246
482	5098	1235
483	5106	1223
484	5115	1212
485	5121	1201
486	5128	1189
487	5135	1178
488	5141	1167
489	5149	1156
490	5158	1145
491	5165	1133
492	5173	1122
493	5181	1111
494	5190	1101
495	5199	1090
496	5205	1078
497	5213	1067
498	5221	1056
499	5229	1045
500	5237	1034
501	5248	1024
502	5254	1013
503	5262	1002
504	5269	991
505	5278	980
506	5285	969
507	5294	958
508	5302	948
509	5309	936
510	5316	925
511	5322	914
512	5329	903
513	5338	893
514	5345	882
515	5352	871
516	5359	860
517	5365	849
518	5372	838
519	5379	827
520	5389	817
521	5396	806
522	5403	795
523	5410	784
524	5416	773
525	5424	763
526	5433	752
527	5440	741
528	5448	731
529	5456	720
530	5461	709
531	5466	698
532	5475	688
533	5481	677
534	5489	666
535	5496	656
536	5503	645
537	5510	635
538	5517	624
539	5524	613
540	5532	603
541	5539	592
542	5549	582
543	5558	572
544	5566	561
545	5574	551
546	5583	540
547	5590	530
548	5599	520
549	5605	509
550	5613	499
551	5622	488
552	5631	478
553	5638	468
554	5646	457
555	5654	447
556	5662	437
557	5670	426
558	5679	416
559	5687	406
560	5695	395
561	5703	385
562	5711	375
563	5718	365
564	5724	354
565	5732	344
566	5741	334
567	5749	323
568	5757	313
569	5766	303
570	5773	293
571	5781	283
572	5789	272
573	5796	262
574	5805	252
575	5812	242
576	5817	231
577	5825	221
578	5832	211
579	5839	201
580	5845	191
581	5852	181
582	5858	170
583	5867	160
584	5875	150
585	5884	140
586	5892	130
587	5900	120
588	5909	110
589	5919	100
590	5927	90
591	5934	80
592	5941	70
593	5948	60
594	5956	50
595	5963	40
596	5971	30
597	5977	19
598	5984	9
599	5989	0
	0
